system:index,MNDWI,NBR,NDMI,NDVI,block_id,blue,class_numeric,dist_to_water,elev_rel_lake,green,nir,red,reserve_id,slope,swir1,swir2,.geo
17194,0.8263727,0.62344986,0.4728768,-0.0817779,8.53403984E8,0.063835,1.0,0.0,1.7053026E-13,0.08015625,0.02215875,0.02779625,5,0.0,0.00796875,0.0049575,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.919572843424409,46.908478088438095]}"
17195,0.818932,0.6606284,0.55477136,-0.02252921,8.53403984E8,0.062955,1.0,0.0,1.7053026E-13,0.07764,0.02468875,0.02781,5,0.0,0.00681375,0.00482,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.919966605884319,46.90847987757771]}"
17196,0.8111257,0.5909615,0.46946865,-0.061592698,8.53503984E8,0.06098875,1.0,0.0,1.7053026E-13,0.07691125,0.0247025,0.0278925,5,0.0,0.0097425,0.0053975,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.920360368370467,46.90848166536209]}"
17197,0.8345567,0.5940451,0.5550406,-0.08090137,8.53503984E8,0.0628175,1.0,0.0,1.7053026E-13,0.08045875,0.0247025,0.02782375,5,0.0,0.0070475,0.00546625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.92075413088279,46.90848345179121]}"
17198,0.85050035,0.82410425,0.52444017,-0.10659696,8.53503984E8,0.064935,1.0,0.0,1.7053026E-13,0.0837725,0.026435,0.03150875,5,0.0,0.00681375,0.00147875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.921147893421311,46.9084852368651]}"
17199,0.86117303,0.6392474,0.5545927,-0.1731694,8.53503984E8,0.0707925,1.0,0.0,1.7053026E-13,0.0887775,0.0247025,0.02952875,5,0.0,0.00681375,0.00521875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.921541655985983,46.90848702058372]}"
17200,0.92212754,0.5155569,0.6814485,-0.2203369,8.53503984E8,0.0700775,1.0,0.0,1.7053026E-13,0.089135,0.0222,0.03353,5,0.0,0.003555,0.00684125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.921935418576799,46.90848880294711]}"
17201,0.88183415,0.5940451,0.60899925,-0.21195498,8.53503984E8,0.07262125,1.0,0.0,1.7053026E-13,0.09077125,0.02221375,0.03150875,5,0.0,0.00568625,0.00574125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.922329181193754,46.908490583955235]}"
17202,0.8543855,0.5579668,0.49143556,-0.19913365,8.53503984E8,0.072305,1.0,0.0,1.7053026E-13,0.08925875,0.0222,0.0320175,5,0.0,0.0070475,0.00598875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.922722943836817,46.90849236360811]}"
17203,0.83616555,0.6838517,0.52993256,-0.22391677,8.53503984E8,0.07236,1.0,0.0,1.7053026E-13,0.09304,0.0239325,0.03507,5,0.0,0.00849125,0.00521875,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.923116706505952,46.90849414190576]}"
17204,0.8622612,0.6511308,0.57345974,-0.246381,8.53503984E8,0.075605,1.0,0.0,1.7053026E-13,0.096285,0.0222,0.0399925,5,0.0,0.00581,0.0049575,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.9235104692011475,46.908495918848125]}"
17205,0.85650206,0.65270686,0.49476936,-0.27015346,8.53503984E8,0.075605,1.0,0.0,1.7053026E-13,0.0966975,0.02221375,0.038535,5,0.0,0.00581,0.0044625,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.923904231922377,46.908497694435276]}"
